data,municipio,fonte,titulo,link,resumo,classificacao,palavras_chave_detectadas,entidades_locais,eventos_problemas
Data não identificada,Itirapina,Agência Fapesp,Agência Fapesp,https://agencia.fapesp.br/noticias,"Inteligência artificial identifica dor em bebês e pode auxiliar decisões médicas em UTI neonatal 12 de março de 2026 Ferramenta desenvolvida por pesquisadores da FEI e da Unifesp utiliza IA para interpretar expressões faciais de recém-nascidos com mais objetividade e precisão Marcio de Castro Silva Filho é reconduzido ao cargo de diretor científico da FAPESP 12 de março de 2026 Nomeação foi publicada quarta-feira (11/03) no Diário Oficial do Estado de São Paulo Centro de Estudos de Venenos e Animais Peçonhentos lança livro comemorativo 12 de março de 2026 Obra reúne cerca de uma centena de depoimentos sobre os mais de 30 anos de realizações do Cevap-Unesp ‘Andaime’ de grafeno recruta células ósseas e ajuda organismo a regenerar fratura 11 de março de 2026 Estruturas desenvolvidas por equipe da USP e da Faculdade Albert Einstein se combinam com polímeros de origem orgânica e podem recuperar também perda ou malformação dos ossos Pesquisadores obtêm avanço em técnica de imagem biomédica e tratamento de câncer 11 de março de 2026 Grupo da USP de São Carlos transformou a hidroxiapatita, um material biocerâmico, em nanopartícula com luminescência intrínseca aprimorada Laboratório Nacional de Guangzhou busca novas parcerias com instituições paulistas 11 de março de 2026 Cientistas da instituição visitaram a FAPESP para conhecer os programas da Fundação Pesquisadores criam índice para avaliar saúde do solo em manguezais 10 de março de 2026 Ferramenta pode apoiar gestores na definição de prioridades de conservação desses ecossistemas, chamados de “floresta de carbono azul”; Brasil tem a segunda maior área de mangue do planeta, atrás apenas da Indonésia Manifestação do Conselho Técnico-Administrativo (CTA) da FAPESP sobre a reestruturação da revista Pesquisa FAPESP 10 de março de 2026 Conselho Superior determinou ao CTA a implementação de uma reestruturação abrangente, com redimensionamento das equipes, buscando definir linhas editoriais complementares entre os canais de divulgação da FAPESP Diretor do Instituto Internacional de Análise de Sistemas Aplicados visita a FAPESP 10 de março de 2026 Referência na área de diplomacia científica, a entidade busca aumentar a sua representação na América Latina Cientistas descobrem ‘interruptor’ molecular que controla a digestão de carboidratos 10 de março de 2026 Estudo conduzido no CNPEM com apoio da FAPESP revela mecanismo em enzima da microbiota de capivara Apneia do sono agrava perda muscular em pessoas com DPOC, mostra estudo 09 de março de 2026 Pesquisa com 44 pacientes mostra que a combinação das duas doenças reduz força e desempenho físico, com impacto direto na qualidade de vida Mídia Ciência tem inscrições abertas para chamada do 1º semestre 09 de março de 2026 Bolsas se destinam a estudantes de graduação e profissionais diplomados em qualquer área que tenham concluído ou estejam realizando um curso de introdução ao jornalismo científico Simpósio multidisciplinar oferece vagas com custos pagos para jovens cientistas 09 de março de 2026 Programa reúne cientistas, engenheiros e profissionais da área médica em início ou meio de carreira da América Latina e Caribe, dos Estados Unidos e do Canadá para explorar avanços promissores e oportunidades em suas áreas Genoma completo da jararaca-ilhoa revela como evoluíram os genes responsáveis pelas toxinas do veneno 06 de março de 2026 Sequenciamento é um dos mais completos realizados em serpentes no mundo e serve como referência para todas as jararacas, o que pode contribuir com novas descobertas e para conservação da espécie da Ilha da Queimada Grande, ameaçada de extinção ‘O câncer cervical é uma doença que revela claramente inequidades’ 06 de março de 2026 Referência mundial em HPV, a pesquisadora Luisa Villa explica em entrevista à Agência FAPESP por que tumores de colo do útero ainda matam milhares de brasileiras, embora sejam quase totalmente evitáveis com vacinas e rastreamento Vacina da dengue mantém 80,5% de eficácia contra casos graves após cinco anos 06 de março de 2026 Estudo publicado na revista Nature Medicine confirma que a Butantan-DV protege de hospitalizações Estresse na adolescência provoca alterações cerebrais duradouras, aponta estudo com ratos 05 de março de 2026 Pesquisa realizada na USP mostra que mudanças no córtex pré-frontal causadas por estresse severo ou trauma na adolescência podem estar ligadas ao surgimento de transtornos como esquizofrenia e depressão Mudanças climáticas encurtam o período de floração e frutificação de espécies do Cerrado 05 de março de 2026 Estudo feito na Unesp avaliou 31 espécies de árvores e arbustos na região de Itirapina, centro-leste do Estado de São Paulo Pesquisadores da USP de São Carlos se destacam em Congresso Latino-Americano de Matemática Aplicada e Industrial 05 de março de 2026 Cientistas são vinculados ao Centro de Pesquisa Aplicada em Ciência de Dados para a Indústria Inteligente, um CPA-IA apoiado pela FAPESP Revisão harmoniza teoria e experimento no cálculo do momento magnético do múon 04 de março de 2026 Artigo assinado por centenas de pesquisadores mostra que a discrepância histórica entre a previsão teórica e os dados experimentais praticamente desapareceu; resultado é fundamental para validação do Modelo Padrão da Física de Partículas Bactérias detectadas em rio urbano, cão doméstico e lesões de pele ressaltam risco da multirresistência microbiana 04 de março de 2026 Variantes resistentes à maioria das classes de medicamentos, há pouco tempo encontradas apenas em ambiente hospitalar, são localizadas no rio Tietê, em São Paulo, em cachorro e em infecção de pele RCGI lança Observatório de Normas para impulsionar a inovação na transição energética 04 de março de 2026 Banco de dados aberto elaborado por Centro de Pesquisa Aplicada da FAPESP reduz barreiras para a viabilização de inovações tecnológicas Pesquisadores identificam ‘assinatura neuroimune’ que pode prever complicações da hepatite 03 de março de 2026 Rede de genes ligada aos sistemas nervoso e imunológico pode antecipar risco de câncer e até explicar sintomas como fadiga e depressão decorrente de infecção provocada por hepatite viral Estudo desenvolve nova rota para criar materiais semicondutores e metálicos com laser ultrarrápido 03 de março de 2026 Trabalho de pesquisadores do CDMF pode abrir caminhos promissores para aplicações em fotocatálise, optoeletrônica e fotônica FAPESP assina dois acordos de cooperação com instituições francesas 03 de março de 2026 Presidente da Fundação firmou Memorandos de Entendimento com a Região Île-de-France, que abrange Paris e é o coração político, cultural e econômico da França, e com a universidade Paris Sciences et Lettres Semente de planta comum no Brasil mostra potencial para remoção de microplásticos da água 02 de março de 2026 Extrato salino obtido de moringa, ou acácia-branca, apresentou propriedades semelhantes ao sulfato de alumínio no processo de coagulação que antecede a filtração da água para consumo humano Pesquisa aponta regiões ideais do genoma para criação de milho resistente à seca 02 de março de 2026 Identificação abre caminho para acelerar, baratear e tornar mais preciso o desenvolvimento de cultivares Bolsista da FAPESP lança blog sobre práticas ecologicamente sustentáveis na produção cenográfica teatral 02 de março de 2026 Série entrevista designers de performance de Gana, México, Japão, Taiwan, Finlândia, Estados Unidos, Austrália e Brasil Diminuição de presas aumenta risco de extinção da onça-pintada na Mata Atlântica 27 de fevereiro de 2026 Estudo aponta que a disponibilidade de alimento para o maior felino das Américas é determinante para sua ocorrência no interior de unidades de conservação do bioma, que abrange cerca de 15% do território brasileiro Estudo busca contribuir para o registro de pesticidas menos tóxicos e de origem natural 27 de fevereiro de 2026 Artigo de revisão traça a evolução das pesquisas sobre nanopesticidas verdes e sistematiza informações para ajudar os tomadores de decisão a classificar as novas formulações FAPESP amplia prazo de submissão para chamada do Programa CCD 27 de fevereiro de 2026 Interessados têm até 12 de março para submeter propostas na nova chamada de R$ 200 milhões do Programa Centros de Ciência para o Desenvolvimento Avaliação física simples ajuda a prever perda de independência em pessoas idosas 26 de fevereiro de 2026 Teste Sentar e Levantar, que usa apenas cronômetro e cadeira, se mostra tão eficaz quanto bateria completa para mensurar prejuízo funcional em até oito anos Conselho Superior define candidatos ao cargo de diretor científico da FAPESP 26 de fevereiro de 2026 Lista tríplice foi encaminhada ao governador do Estado de São Paulo para escolha e nomeação Pesquisa em neonatologia apoiada pela FAPESP é premiada 26 de fevereiro de 2026 Estudo da Escola Paulista de Medicina da Unifesp foi contemplado com o prêmio Nicola Albano, de incentivo à qualidade da assistência neonatal e da pesquisa científica na área Estudo traça relações genéticas entre 14 condições psiquiátricas e pode facilitar tratamentos no futuro 25 de fevereiro de 2026 Após comparar dados de mais de 1 milhão de pessoas diagnosticadas, consórcio internacional de pesquisadores agrupou os transtornos em cinco grandes grupos Manejo com redução de impacto é capaz de promover recuperação de floresta e estocar carbono 25 de fevereiro de 2026 Pesquisa realizada por 30 anos na Amazônia traz evidências de que boas práticas na exploração de madeira aumentam a biomassa acima do solo e podem contribuir para mitigar mudanças climáticas Grupo da UFSCar busca voluntários para estudo sobre doença pulmonar obstrutiva crônica 25 de fevereiro de 2026 Objetivo é avaliar os efeitos de um programa de reabilitação associado a estratégias de mudança de comportamento para o exercício físico Catalisador aprimorado melhora a conversão de etanol em hidrogênio 24 de fevereiro de 2026 Controle fino do processamento de material cerâmico do tipo perovskita aumenta a estabilidade do sistema e reduz custos, dispensando o uso de metais nobres Apoio a filhos com transtornos mentais tem custo equivalente a 50% da renda mensal da família 24 de fevereiro de 2026 Dados são de projeto ligado ao Centro de Pesquisa e Inovação em Saúde Mental.
Estudo foi realizado com 1.158 cuidadores de jovens entre 14 e 23 anos Newsletter do ConeCta-SP aborda barreiras ao rastreamento dos cânceres de colo do útero e de mama 24 de fevereiro de 2026 Projeto é um dos Centros de Ciência para o Desenvolvimento (CCDs) da FAPESP, com sede na Fundação Oncocentro de São Paulo (Fosp) Vírus do resfriado se ‘esconde’ e se multiplica nas amígdalas e adenoides mesmo em pessoas sem sintomas 23 de fevereiro de 2026 Estudo conduzido na USP mostra que o patógeno pode persistir por longos períodos nesses tecidos, ser transmitido de forma insuspeita e gerar novos surtos da doença Morar em favela influencia a forma como as pessoas se deslocam pela cidade 23 de fevereiro de 2026 Pesquisa com dados de telefonia móvel indica que a condição de moradia reduz a variabilidade de movimentações diárias Ex-bolsista da FAPESP é selecionada pelo programa Marie Curie Fellowship 23 de fevereiro de 2026 Thiécla Rosales trabalha no desenvolvimento de nanoformulações para a encapsulação de compostos naturais que atuam na prevenção e no tratamento do câncer colorretal Medicamento para osteoporose mostra potencial contra doenças causadas por excesso de ferro 20 de fevereiro de 2026 Em estudo preliminar, realizado em células humanas, dois fármacos comumente usados para inibir a reabsorção óssea se ligaram ao ferro em excesso, evitando os danos celulares Bioinsumo à base de microalgas pode reduzir a dependência de fertilizantes agrícolas 20 de fevereiro de 2026 Projeto usa efluentes tratados de cervejarias e da aquicultura de tilápia e camarão; biomassa resultante já é testada em lavouras de milho, banana, hortaliças e café em São Paulo e Minas Gerais Centro de Estudos de Carbono em Agricultura Tropical lança podcast 20 de fevereiro de 2026 Iniciativa denominada CCARBONCast busca tornar acessíveis à sociedade pesquisas nas áreas de clima, solo, carbono e agricultura tropical Além do tabagismo, obesidade e inflamação também são prejudiciais aos pulmões 19 de fevereiro de 2026 Estudo com quase 900 adultos indica que, embora fumar ainda seja a principal condição de risco, os dois fatores aceleram o envelhecimento do órgão e aumentam o risco de desenvolver doença pulmonar obstrutiva crônica (DPOC) Diversificação de dietas dos cupins foi possível graças a modificações no genoma 19 de fevereiro de 2026 Estudo muda entendimento sobre a evolução desses insetos ao revelar que divergência evolutiva ocorreu antes da ecológica e possibilitou que se alimentassem tanto de madeira quanto de solo; futuras descobertas podem ser aplicadas na produção de biocombustíveis Professor da USP recebe prêmio da Fundação Alexander von Humboldt 19 de fevereiro de 2026 Francisco Rodrigues foi reconhecido por suas contribuições científicas de alto impacto em matemática e passa a integrar a comunidade acadêmica da instituição alemã Uso de álcool e drogas pelos pais influencia consumo dos filhos, demonstra pesquisa 13 de fevereiro de 2026 Combinar acolhimento e monitoramento na educação dos jovens reduz risco de repetir padrão de consumo, mesmo nas famílias em que os responsáveis também usam essas substâncias, incluindo cigarro, vapes e maconha Mais lidas do mês Semente de planta comum no Brasil mostra potencial para remoção de microplásticos da água 02 de março de 2026 Semente de planta comum no Brasil mostra potencial para remoção de microplásticos da água Cientistas descobrem ‘interruptor’ molecular que controla a digestão de carboidratos 10 de março de 2026 Cientistas descobrem ‘interruptor’ molecular que controla a digestão de carboidratos Genoma completo da jararaca-ilhoa revela como evoluíram os genes responsáveis pelas toxinas do veneno 06 de março de 2026 Genoma completo da jararaca-ilhoa revela como evoluíram os genes responsáveis pelas toxinas do veneno ‘Andaime’ de grafeno recruta células ósseas e ajuda organismo a regenerar fratura 11 de março de 2026 ‘Andaime’ de grafeno recruta células ósseas e ajuda organismo a regenerar fratura Revisão harmoniza teoria e experimento no cálculo do momento magnético do múon 04 de março de 2026 Revisão harmoniza teoria e experimento no cálculo do momento magnético do múon Pesquisadores da USP de São Carlos se destacam em Congresso Latino-Americano de Matemática Aplicada e Industrial 05 de março de 2026 Pesquisadores da USP de São Carlos se destacam em Congresso Latino-Americano de Matemática Aplicada e Industrial Mudanças climáticas encurtam o período de floração e frutificação de espécies do Cerrado 05 de março de 2026 Mudanças climáticas encurtam o período de floração e frutificação de espécies do Cerrado Pesquisadores criam índice para avaliar saúde do solo em manguezais 10 de março de 2026 Pesquisadores criam índice para avaliar saúde do solo em manguezais Apneia do sono agrava perda muscular em pessoas com DPOC, mostra estudo 09 de março de 2026 Apneia do sono agrava perda muscular em pessoas com DPOC, mostra estudo Estresse na adolescência provoca alterações cerebrais duradouras, aponta estudo com ratos 05 de março de 2026 Estresse na adolescência provoca alterações cerebrais duradouras, aponta estudo com ratos 1 2 3 4 5 6 7",Média,"Itirapina, seca",,seca
Data não identificada,Socorro,Arteris S.A,Arteris S.A,https://www.arteris.com.br/fique-por-dentro/noticias-e-releases/no-carnaval-arteris-realiza-mais-de-9-mil-atendimentos-a-usuarios-nas-rodovias/,"20/02/2026 No Carnaval, Arteris realiza mais de 9 mil atendimentos a usuários nas rodovias Apoio mecânico e inspeção operacional foram os serviços mais acionados durante os dias 13 e 18 de fevereiro, nos trechos administrados pela companhia São Paulo, 20 de fevereiro de 2026 – A Arteris, uma das principais gestoras de rodovias do país, apresenta balanço operacional consolidado do feriado de Carnaval.
Entre os dias 13 e 18 de fevereiro, a companhia mobilizou sua estrutura de prontidão e realizou 9.106 atendimentos nas rodovias, garantindo serviços gratuitos e suporte aos viajantes, e reforçando seu compromisso primordial com a segurança viária.
Neste período, as sete concessionárias administradas pela companhia registraram a movimentação de mais de 6 milhões de veículos.",Média,"Socorro, seca",,seca
Data não identificada,Campinas,Capivari Online,"Capivari: Em três dias, acumulado de chuvas registra aumento de 333% na região",https://capivarionline.com.br/capivari-em-tres-acumulado-de-chuvas-registra-aumento-de-333-na-regiao/,"As cidades de Campinas, Monte Mor de Capivari registraram um acumulado de 331,8 milímetros de chuva entre os dias 04 de 06 de março, de acordo com a Defesa Civil de Capivari.
Os dados são da SIDEC- Sistema Integrado da Defesa Civil do Estado de São Paulo.
O aumento foi de 333% se comparado com o mesmo período do ano passado, quando choveu apenas 70,6 milímetros.",Média,"Campinas, chuva",,chuva
Data não identificada,Limeira,gazetadelimeira.com.br,Gazeta de Limeira,https://www.gazetadelimeira.com.br/noticias/editoria/11,Início Editorias Brasil WhatsApp lança recurso para pais limitarem quem pode falar com seus filhos Câmara aprova uso obrigatório de tornozeleira por agressores de mulher CPI do Crime mira braço do PCC na Faria Lima e “A Turma” do Master EUA vê PCC e CV como “ameaças à segurança regional” Escritório ligado à família de Moraes afirma que não atuou no STF Clientes do Banco do Brasil podem renegociar dívidas até o fim do mês Gilmar Mendes critica vazamento de mensagens íntimas de Vorcaro Banco Master: Senado tem assinaturas para CPI contra Toffoli e Moraes CNU 2025: governo divulga hoje reclassificação de candidatos Mega-Sena acumula e prêmio principal vai para R$ 50 milhões 1 2 ...,Média,"Limeira, vazamento",,vazamento
Data não identificada,Americana,sbnoticias.com.br,"Mulher e ex-namorado suspeitos de estupro e exploração sexual de filha adolescente são presos em Americana - SBNotícias, a sua cidade on-line",https://sbnoticias.com.br/noticia/Mulher-e-ex-namorado-suspeitos-de-estupro-e-exploracao-sexual-de-filha-adolescente-sao-presos-em-Americana/227404,"A Polícia Civil de Americana prendeu na manhã desta quarta-feira (11) na Vila Cordenonsi, uma mulher de 47 anos, investigada por explorar sexualmente a própria filha, de 14 anos e por ter recebido R$ 1,5 mil do ex-namorado por gravar um vídeo da adolescente sendo abusada sexualmente.
O ex-namorado da mãe foi preso em Sumaré, e segundo a Polícia Civil, confessou ter pago o valor após os atos sexuais.
A Delegacia de Defesa da Mulher-DDM de Americana iniciou as investigações após ser acionada pelo Conselho Tutelar sobre o vazamento de um vídeo de cunho sexual que circulou na escola estadual onde a adolescente estuda.",Média,"Americana, vazamento",,vazamento
Data não identificada,Americana,sbnoticias.com.br,"Notícias - SBNotícias, a sua cidade on-line",https://sbnoticias.com.br/noticias,"Nível do Ribeirão dos Toledos aumenta e preocupa com o risco de chuvas fortes e volumosas até sexta-feira O tempo segueinstável na região, com risco de períodos de chuvas fortes e volumosas em toda aRegião Metropolitana de Campinas-RMC.Em Santa Bárbara d’ Oeste, com as chuvas registradasdesde a noit Vacina antirrábica está temporariamente suspensa no Estado de São Paulo devido ao desabastecimento A Secretaria de Saúde de Santa Bárbara d’Oeste informou que a vacinação antirrábica de rotina para cães e gatos está temporariamente suspensa em todo o Estado de São Paulo.
A medida segue orientação d Manchetes dos principais jornais do país Folha de S.
Paulo = Falta de confiança no STF chega ao maior nível registrado, diz DatafolhaO Estado de S.",Média,"Americana, chuva",,chuva
Data não identificada,Atibaia,Portal da Cidade Atibaia / SP,Notícias de Atibaia / SP | Portal da Cidade,https://atibaia.portaldacidade.com/noticias,"Quinta-feira Previsão do tempo para Atibaia nesta quinta-feira (12) Chuva persiste em Atibaia e quinta-feira segue com alerta do tempo Publicado em 12/03/2026 às 08:10 assistência social CRAS orienta famílias e amplia acesso à assistência social em Atibaia Atendimento é voltado a crianças, idosos, pessoas com deficiência e famílias que precisam de apoio social; cidade conta com cinco unidades de atendimento Publicado em 11/03/2026 às 16:52 Aprovado Hospital estadual avança e pode beneficiar moradores de Atibaia e região Nova unidade prevista pelo governo estadual deve ampliar a rede de média e alta complexidade e atender pacientes de cidades da região, como Atibaia Publicado em 11/03/2026 às 15:29 Mês da mulher Mês da Mulher em Atibaia terá exames, apoio e cursos gratuitos Programação reúne ações de saúde, combate à violência e incentivo à geração de renda ao longo de março Publicado em 11/03/2026 às 11:36 Adoção Atibaia promove feira de adoção de cães e gatos nesta quarta-feira Evento acontece nesta quarta-feira (11), no Jardim Morumbi, com adoção responsável, orientação aos tutores e castração gratuita garantida Publicado em 11/03/2026 às 11:08 Quarta-feira Previsão do tempo para Atibaia nesta quarta-feira (11) Cidade amanheceu com garoa e deve seguir com tempo instável e temperaturas amenas Publicado em 11/03/2026 às 07:27 Acidente grave Motociclista morre após colisão na Fernão Dias, em Atibaia Acidente foi registrado no km 42 da rodovia, no sentido Belo Horizonte, e mobilizou equipes de resgate em Atibaia Publicado em 10/03/2026 às 19:10 Ao vivo Pet shop em Atibaia permite acompanhar banho e tosa do pet ao vivo Com vitrine no espaço de atendimento, a Sofisticão permite que tutores acompanhem o cuidado com os pets em tempo real Publicado em 10/03/2026 às 16:58 Força feminina Exposição em Atibaia celebra a força criativa das mulheres Mostra de Patrícia Amato, reúne obras inspiradas no universo feminino e integra a programação cultural aberta ao público em Atibaia Publicado em 10/03/2026 às 13:09 Atenção Obras interditam trechos da Avenida Brasil por até 40 dias em Atibaia Intervenção começou hoje, terça-feira (10), no bairro Chácaras Brasil e será feita por etapas, com bloqueios parciais conforme o avanço dos serviços Publicado em 10/03/2026 às 10:21 Oficinas Atibaia promove oficinas para discutir mudanças no transporte público Oficinas abertas ao público serão realizadas em março para ouvir usuários e discutir melhorias no transporte coletivo Publicado em 10/03/2026 às 09:17 Terça-feira Previsão do tempo para Atibaia nesta terça-feira (10) Tempo instável mantém alerta para chuva em Atibaia nesta terça Publicado em 10/03/2026 às 07:13 Caso esclarecido Quem dirigia o carro que caiu no Lago do Major em Atibaia?
Caso é esclarecido Boletim de ocorrência revelou novos detalhes sobre o carro que foi parar no Lago do Major, na região central de Atibaia Publicado em 09/03/2026 às 17:30 Semana do consumidor Atibaia terá ações do Procon na Semana do Consumidor Programação do Procon em Atibaia terá orientações presenciais e conteúdos educativos ao longo da Semana do Consumidor Publicado em 09/03/2026 às 16:55 Ataque Grávida é agredida a facadas e caso mobiliza PM e Samu Vítima foi socorrida após pedir ajuda; suspeito acabou localizado pela polícia com duas facas Publicado em 09/03/2026 às 13:21 Solidariedade Empresárias se reúnem em tarde de reflexão e solidariedade em Atibaia O encontro segue acontecendo mensalmente, unindo mulheres em torno da fé, da troca de experiências e da solidariedade Publicado em 09/03/2026 às 12:17 Homenagem Guardiã Maria da Penha é homenageada em evento da APAE de Atibaia Encontro pelo Dia da Mulher reuniu mães, assistidos e profissionais da rede de proteção para discutir acolhimento e combate à violência em Atibaia Publicado em 09/03/2026 às 08:45 Idade certa Atibaia lança programa para reforçar alfabetização infantil O programa faz parte da política municipal para garantir que as crianças da rede estejam alfabetizadas até o fim do 2º ano do Ensino Fundamental Publicado em 09/03/2026 às 08:18 Segunda-feira Previsão do tempo para Atibaia nesta segunda-feira (9) Atibaia tem segunda nublada com chance de chuva ao longo do dia Publicado em 09/03/2026 às 07:15 inscrições Abertas Atibaia abre inscrições para o 44º Torneio dos Trabalhadores Competição reúne equipes formadas por trabalhadores da cidade e terá disputas em 18 modalidades esportivas entre abril e 1º de maio.
Publicado em 06/03/2026 às 16:18 Solidariedade Estação Solidária leva doações gratuitas ao bairro do Portão em Atibaia Ação será realizada na sexta-feira (13), na quadra da Escola Nelson Pedroso, com distribuição gratuita de roupas, alimentos e outros itens para famílias Publicado em 06/03/2026 às 15:36 Manhã delas Atibaia recebe 2ª edição do projeto “Manhã Delas” neste sábado Evento reúne palestra, prática de yoga, café da manhã e ação social voltada ao bem-estar e ao fortalecimento das mulheres da comunidade Publicado em 06/03/2026 às 15:03 Atenção Secretaria de Finanças de Atibaia fecha mais cedo nesta sexta Expediente será encerrado com uma hora de antecedência devido à realização de serviços de dedetização no prédio Publicado em 06/03/2026 às 11:02 Gratuito Atibaia abre inscrições para cursos gratuitos de empreendedorismo Programação inclui ações do Mês da Mulher, cursos do Sebrae e capacitações para moradores que querem gerar renda ou iniciar um negócio Publicado em 06/03/2026 às 09:03 Fim de semana Previsão do tempo para o fim de semana em Atibaia Sensação térmica deve superar a temperatura real e há previsão de pancadas de chuva Publicado em 06/03/2026 às 08:35 Delegacia da mulher Atibaia terá delegacia exclusiva para atender mulheres vítimas de violência Espaço especializado para atender vítimas de violência doméstica está sendo preparado e deve ser inaugurado ainda neste mês em Atibaia Publicado em 05/03/2026 às 15:52 mutirão de emprego Atibaia terá mutirão de emprego com entrevistas e vagas imediatas Evento no dia 12 no PAT Alvinópolis reunirá empresas e candidatos para entrevistas presenciais e encaminhamento para vagas no mercado de trabalho Publicado em 05/03/2026 às 13:33 Prisão Procurado por estupro de vulnerável é preso pela PM em Atibaia Homem tentou voltar correndo para uma residência ao perceber a viatura, mas foi abordado e preso pela Polícia Militar em Atibaia Publicado em 05/03/2026 às 12:15 Prevenção Atibaia intensifica exames e vacinação contra câncer do colo do útero Exames preventivos, vacinação contra HPV e ações educativas serão intensificados nas unidades de saúde e escolas durante o Mês da Mulher Publicado em 05/03/2026 às 11:44 Exposição bonecões Atibaia expõe bonecões gigantes que animaram o Carnaval Mostra gratuita apresenta 23 bonecos gigantes que desfilaram na folia e agora podem ser vistos de perto no Centro Cultural André Carneiro Publicado em 05/03/2026 às 09:23",Média,"Atibaia, chuva",,chuva
Data não identificada,Santa Bárbara D Oeste,sbnoticias.com.br,"Nível do Ribeirão dos Toledos aumenta e preocupa com o risco de chuvas fortes e volumosas até sexta-feira - SBNotícias, a sua cidade on-line",https://sbnoticias.com.br/noticia/Nivel-do-Ribeirao-dos-Toledos-aumenta-e-preocupa-com-o-risco-de-chuvas-fortes-e-volumosas-ate-sexta-feira/227421,"O tempo segue instável na região, com risco de períodos de chuvas fortes e volumosas em toda a Região Metropolitana de Campinas-RMC.
Em Santa Bárbara d’ Oeste, com as chuvas registradas desde a noite de ontem (11), o nível do Ribeirão dos Toledos está bem acima do normal, com a previsão de mais chuvas até o sábado (14), os moradores do Jardim Conceição, São Joaquim e outros bairros ribeirinhos estão apreensivos.
A Defesa Civil informou que segue monitorando 24 horas os pontos de alagamento.",Média,"Santa Bárbara D Oeste, alagamento, chuva",,"alagamento, chuva"
